TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
reflection	O	_	O	_	_	O	_	_	_
has	O	_	O	_	_	O	_	_	_
induced	O	_	O	_	_	O	_	_	_
me	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
relinquish	O	_	O	_	_	O	_	_	_
that	O	_	O	_	_	O	_	_	_
project	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
To	O	_	O	_	_	O	_	_	_
have	O	_	O	_	_	O	_	_	_
executed	O	_	O	_	_	O	_	_	_
it	O	_	O	_	_	O	_	_	_
on	O	_	O	_	_	O	_	_	_
any	O	_	O	_	_	O	_	_	_
considerable	O	_	O	_	_	O	_	_	_
scale	O	_	O	_	_	O	_	_	_
would	O	_	O	_	_	O	_	_	_
have	O	_	O	_	_	O	_	_	_
unduly	O	_	O	_	_	O	_	_	_
burdened	O	_	O	_	_	O	_	_	_
a	O	_	O	_	_	O	_	_	_
work	O	_	O	_	_	O	_	_	_
which	O	_	O	_	_	O	_	_	_
is	O	_	O	_	_	O	_	_	_
already	O	_	O	_	_	O	_	_	_
sufficiently	O	_	O	_	_	O	_	_	_
loaded	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
To	O	_	O	_	_	O	_	_	_
assign	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
Aldus	B-pers	_	B-pers.author	_	_	O	Q213220	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
Canter	B-pers	_	B-pers.author	_	_	O	Q3568335	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
Turnebus	B-pers	_	B-pers.author	_	_	O	Q376210	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
Camerarius	B-pers	_	B-pers.author	_	_	O	Q64361	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
H	B-pers	_	B-pers.author	_	_	O	Q664748	_	NoSpaceAfter|LED0.00
.	I-pers	_	I-pers.author	_	_	O	Q664748	_	LED0.00
Stephanus	I-pers	_	I-pers.author	_	_	O	Q664748	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
Capperonier	B-pers	_	B-pers.author	_	_	O	Q2977140	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
Vauvillers	B-pers	_	B-pers.author	_	_	O	Q3165926	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
Brunck	B-pers	_	B-pers.author	_	_	O	Q454469	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
Musgrave	B-pers	_	B-pers.author	_	_	O	Q7412249	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
Erfurdt	B-pers	_	B-pers.author	_	_	O	Q1670872	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
Hermann	B-pers	_	B-pers.author	_	_	O	Q77616	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
Elmsley	B-pers	_	B-pers.author	_	_	O	Q7173848	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
Schneidewin	B-pers	_	B-pers.author	_	_	O	Q70043	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
and	O	_	O	_	_	O	_	_	_
a	O	_	O	_	_	O	_	_	_
host	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
names	O	_	O	_	_	O	_	_	_
only	O	_	O	_	_	O	_	_	_
less	O	_	O	_	_	O	_	_	_
distinguished	O	_	O	_	_	O	_	_	_
than	O	_	O	_	_	O	_	_	_
these	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
each	O	_	O	_	_	O	_	_	_
his	O	_	O	_	_	O	_	_	_
own	O	_	O	_	_	O	_	_	_
proper	O	_	O	_	_	O	_	_	_
share	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
merit	O	_	O	_	_	O	_	_	_
and	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
blame	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
would	O	_	O	_	_	O	_	_	_
be	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
indeed	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
a	O	_	O	_	_	O	_	_	_
work	O	_	O	_	_	O	_	_	_
demanding	O	_	O	_	_	O	_	_	_
high	O	_	O	_	_	O	_	_	_
qualities	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
and	O	_	O	_	_	O	_	_	_
not	O	_	O	_	_	O	_	_	_
unworthy	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
any	O	_	O	_	_	O	_	_	_
scholars	O	_	O	_	_	O	_	_	_
ambition	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
But	O	_	O	_	_	O	_	_	_
for	O	_	O	_	_	O	_	_	_
myself	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
I	O	_	O	_	_	O	_	_	_
feel	O	_	O	_	_	O	_	_	_
compelled	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
decline	O	_	O	_	_	O	_	_	_
it	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
It	O	_	O	_	_	O	_	_	_
may	O	_	O	_	_	O	_	_	_
be	O	_	O	_	_	O	_	_	_
well	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
however	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
indicate	O	_	O	_	_	O	_	_	_
once	O	_	O	_	_	O	_	_	_
more	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
outline	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
history	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
text	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
Aldus	B-pers	_	B-pers.editor	_	_	O	_	_	InSecondaryReference|LED0.00
(	O	_	O	_	_	O	_	_	InSecondaryReference|NoSpaceAfter
Venice	B-loc	_	B-loc	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	InSecondaryReference
1502	B-date	_	B-date	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
)	O	_	O	_	_	O	_	_	InSecondaryReference
seems	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
have	O	_	O	_	_	O	_	_	_
depended	O	_	O	_	_	O	_	_	_
on	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
Venetian	O	_	O	_	_	O	_	_	_
MSS	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
,	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
most	O	_	O	_	_	O	_	_	_
legible	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
which	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
467	B-object	_	B-object.manuscr	_	_	O	_	_	LED0.00
(	I-object	_	I-object.manuscr	_	_	O	_	_	NoSpaceAfter|LED0.00
V3	I-object	_	I-object.manuscr	_	_	O	_	_	NoSpaceAfter|LED0.00
)	I-object	_	I-object.manuscr	_	_	O	_	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
is	O	_	O	_	_	O	_	_	_
very	O	_	O	_	_	O	_	_	_
closely	O	_	O	_	_	O	_	_	_
akin	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
Paris	B-object	_	B-object.manuscr	_	_	O	_	_	LED0.00
A	I-object	_	I-object.manuscr	_	_	O	_	_	NoSpaceAfter|LED0.00
.	I-object	_	I-object.manuscr	_	_	O	_	_	EndOfSentence|LED0.00
The	O	_	O	_	_	O	_	_	_
first	O	_	O	_	_	O	_	_	_
Juntine	O	_	O	_	_	O	_	_	_
edition	O	_	O	_	_	O	_	_	_
(	O	_	O	_	_	O	_	_	NoSpaceAfter
Florence	B-loc	_	B-loc	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	InSecondaryReference
1522	B-date	_	B-date	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	InSecondaryReference
editor	O	_	O	_	_	O	_	_	InSecondaryReference
Antonius	B-pers	_	B-pers.editor	_	_	O	_	_	InSecondaryReference|LED0.00
Francinus	I-pers	_	I-pers.editor	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
)	O	_	O	_	_	O	_	_	_
follows	O	_	O	_	_	O	_	_	_
closely	O	_	O	_	_	O	_	_	_
on	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
Aldine	O	_	O	_	_	O	_	_	_
traces	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
but	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
editor	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
second	O	_	O	_	_	O	_	_	_
Juntine	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
who	O	_	O	_	_	O	_	_	_
is	O	_	O	_	_	O	_	_	_
said	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
have	O	_	O	_	_	O	_	_	_
been	O	_	O	_	_	O	_	_	_
Victorius,	B-pers	_	B-pers.editor	_	_	O	Q784373	_	NoSpaceAfter|LED0.00
appears	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
have	O	_	O	_	_	O	_	_	_
had	O	_	O	_	_	O	_	_	_
access	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
L	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
and	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
Roman	O	_	O	_	_	O	_	_	_
edition	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
Scholia	O	_	O	_	_	O	_	_	_
(	O	_	O	_	_	O	_	_	NoSpaceAfter
A	B-date	_	B-date	_	_	O	_	_	NoSpaceAfter|LED0.00
.	I-date	_	I-date	_	_	O	_	_	NoSpaceAfter|LED0.00
D	I-date	_	I-date	_	_	O	_	_	NoSpaceAfter|LED0.00
.	I-date	_	I-date	_	_	O	_	_	LED0.00
1618	I-date	_	I-date	_	_	O	_	_	NoSpaceAfter|LED0.00
)	O	_	O	_	_	O	_	_	_
was	O	_	O	_	_	O	_	_	_
taken	O	_	O	_	_	O	_	_	_
either	O	_	O	_	_	O	_	_	_
from	O	_	O	_	_	O	_	_	_
this	O	_	O	_	_	O	_	_	_
or	O	_	O	_	_	O	_	_	_
a	O	_	O	_	_	O	_	_	_
kindred	O	_	O	_	_	O	_	_	_
MS	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
The	O	_	O	_	_	O	_	_	_
next	O	_	O	_	_	O	_	_	_
important	O	_	O	_	_	O	_	_	_
edition	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
that	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
Turnebus	B-pers	_	B-pers.editor	_	_	O	_	_	InSecondaryReference|LED0.00
(	O	_	O	_	_	O	_	_	InSecondaryReference|NoSpaceAfter
Paris	B-loc	_	B-loc	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	InSecondaryReference
155%	B-date	_	B-date	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.50
)	O	_	O	_	_	O	_	_	InSecondaryReference|NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
is	O	_	O	_	_	O	_	_	_
memorable	O	_	O	_	_	O	_	_	_
for	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
importance	O	_	O	_	_	O	_	_	_
attributed	O	_	O	_	_	O	_	_	_
by	O	_	O	_	_	O	_	_	_
its	O	_	O	_	_	O	_	_	_
editor	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
Paris	B-object	_	B-object.manuscr	_	_	O	_	_	LED0.00
T	I-object	_	I-object.manuscr	_	_	O	_	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
Parisian	O	_	O	_	_	O	_	_	_
copy	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
recension	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
Triclinius	B-pers	_	B-pers.editor	_	_	O	Q2987520	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
with	O	_	O	_	_	O	_	_	_
his	O	_	O	_	_	O	_	_	_
Scholia	O	_	O	_	_	O	_	_	_
on	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
metres	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
etc	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
This	O	_	O	_	_	O	_	_	_
new	O	_	O	_	_	O	_	_	_
influence	O	_	O	_	_	O	_	_	_
continued	O	_	O	_	_	O	_	_	_
through	O	_	O	_	_	O	_	_	_
Stephanus	B-pers	_	B-pers.editor	_	_	O	_	_	InSecondaryReference|LED0.00
(	O	_	O	_	_	O	_	_	InSecondaryReference|NoSpaceAfter
1568	B-date	_	B-date	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
)	O	_	O	_	_	O	_	_	InSecondaryReference|NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Canter	B-pers	_	B-pers.editor	_	_	O	_	_	InSecondaryReference|LED0.00
(	O	_	O	_	_	O	_	_	InSecondaryReference|NoSpaceAfter
1579	B-date	_	B-date	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
)	O	_	O	_	_	O	_	_	InSecondaryReference|NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Capperonier	B-pers	_	B-pers.editor	_	_	O	Q2977140	_	LED0.00
and	O	_	O	_	_	O	_	_	_
Vauvillers	B-pers	_	B-pers.editor	_	_	O	Q3165926	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
and	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
London	O	_	O	_	_	O	_	_	_
editions	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
until	O	_	O	_	_	O	_	_	_
Brunck	B-pers	_	B-pers.editor	_	_	O	Q454469	_	LED0.00
(	O	_	O	_	_	O	_	_	NoSpaceAfter
Stras	B-loc	_	B-loc	_	_	O	Q6602	_	NoSpaceAfter|LED0.00
-	I-loc	_	I-loc	_	_	O	Q6602	_	EndOfSentence|LED0.00

# hipe2022:original_source = data/preparation/corpus/en/retokenized/cu31924087948174_0016.xmi
# hipe2022:license = CC-BY
# hipe2022:language = en
# hipe2022:document_type = commentary
# hipe2022:document_id = cu31924087948174_0016
# hipe2022:date = 1881-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.2
# ajmc:title = Sophocles
# ajmc:publication_place = Oxford
# ajmc:publication_date = 1881
# ajmc:page = 16
# ajmc:author = Campbell, Lewis
I	O	_	O	_	_	O	_	_	_
have	O	_	O	_	_	O	_	_	_
been	O	_	O	_	_	O	_	_	_
extremely	O	_	O	_	_	O	_	_	_
sparing	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
adoption	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
conjectures	O	_	O	_	_	O	_	_	_
into	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
text	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
